code,short_name,board,field,strict_label,status,page,root_cause,priority,fix_type,confidence,evidence_summary,recommended_action,notes
000972,*ST中基,szse_main,revenue_by_region,wrong,found,12,tier3_stitched_still_empty_multipage,P0,extraction_tier4,high,"分地区 （2）占公司营业收入或营业利润10%以上的行业、产品、地区、销售模式的情况 适用□不适用 单位：元 营业收入 营业成本 毛利率 营业收入比上年 同期增减 营业成本比上 年同期增减 毛利率比上 年同期增减 分行业 制造业 264,320,769.62 261,449,579.11 1.09% -50.88% -34.93% -24.24% 其他 35,339,686.88 26,450,…",scoped Tier4 pilot,"Tier3 N+1 stitch ran but still 0 strict data rows; try N+2/multi-page; data_rows=0; raw_rows=0; flags={'stitched': True, 'continuation_page': 13}"
831039,国义招标,bse,revenue_by_region,wrong,found,19,tier3_stitched_still_empty_multipage,P0,extraction_tier4,high,分地区 营业收入 营业成本 毛利率% 营业收入比 上年同期 营业成本 比上年同 毛利率比上 年同期增减,scoped Tier4 pilot,"Tier3 N+1 stitch ran but still 0 strict data rows; try N+2/multi-page; data_rows=0; raw_rows=5; flags={'stitched': True, 'continuation_page': 20}"
831832,科达自控,bse,revenue_by_region,wrong,found,18,tier3_stitched_still_empty_multipage,P0,extraction_tier4,high,分地区 营业收入 营业成本 毛利率% 营业收入 比上年同 营业成本 比上年同 毛利率比上 年同期增减,scoped Tier4 pilot,"Tier3 N+1 stitch ran but still 0 strict data rows; try N+2/multi-page; data_rows=0; raw_rows=5; flags={'stitched': True, 'continuation_page': 19}"
832175,东方碳素,bse,revenue_by_region,wrong,found,17,tier3_stitched_still_empty_multipage,P0,extraction_tier4,high,分地区 营业收入 营业成本 毛利率% 营业收入比 上年同期 营业成本 比上年同 毛利率比上 年同期增减,scoped Tier4 pilot,"Tier3 N+1 stitch ran but still 0 strict data rows; try N+2/multi-page; data_rows=0; raw_rows=5; flags={'stitched': True, 'continuation_page': 18}"
836957,汉维科技,bse,revenue_by_region,wrong,found,16,tier3_stitched_still_empty_multipage,P0,extraction_tier4,high,分地区 营业收入 营业成本 毛利率% 营业收入 比上年同 营业成本 比上年同 毛利率比上 年同期增减,scoped Tier4 pilot,"Tier3 N+1 stitch ran but still 0 strict data rows; try N+2/multi-page; data_rows=0; raw_rows=5; flags={'stitched': True, 'continuation_page': 17}"
839719,宁新新材,bse,revenue_by_region,wrong,found,19,tier3_stitched_still_empty_multipage,P0,extraction_tier4,high,分地区 营业收入 营业成本 毛利率% 营业收入比 上年同期 增减% 营业成本 比上年同 期 增减% 毛利率比上 年同期增减,scoped Tier4 pilot,"Tier3 N+1 stitch ran but still 0 strict data rows; try N+2/multi-page; data_rows=0; raw_rows=4; flags={'stitched': True, 'continuation_page': 20}"
872392,佳合科技,bse,revenue_by_region,wrong,found,30,tier3_stitched_still_empty_multipage,P0,extraction_tier4,high,分地区 营业收入 营业成本 毛利 率% 营业收入 比上年同 期 营业成本 比上年同 期 毛利率比 上年同期 增减,scoped Tier4 pilot,"Tier3 N+1 stitch ran but still 0 strict data rows; try N+2/multi-page; data_rows=0; raw_rows=5; flags={'stitched': True, 'continuation_page': 31}"
873593,鼎智科技,bse,revenue_by_region,wrong,found,20,tier3_stitched_still_empty_multipage,P0,extraction_tier4,high,分地区 营业收入 营业成本 毛利率% 营业收入比 上年同期 增减% 营业成本 比上年同 期 毛利率比上 年同期增减,scoped Tier4 pilot,"Tier3 N+1 stitch ran but still 0 strict data rows; try N+2/multi-page; data_rows=0; raw_rows=5; flags={'stitched': True, 'continuation_page': 21}"
920039,国义招标,bse,revenue_by_region,wrong,found,19,tier3_stitched_still_empty_multipage,P0,extraction_tier4,high,分地区 营业收入 营业成本 毛利率% 营业收入比 上年同期 营业成本 比上年同 毛利率比上 年同期增减,scoped Tier4 pilot,"Tier3 N+1 stitch ran but still 0 strict data rows; try N+2/multi-page; data_rows=0; raw_rows=5; flags={'stitched': True, 'continuation_page': 20}"
920175,东方碳素,bse,revenue_by_region,wrong,found,17,tier3_stitched_still_empty_multipage,P0,extraction_tier4,high,分地区 营业收入 营业成本 毛利率% 营业收入比 上年同期 营业成本 比上年同 毛利率比上 年同期增减,scoped Tier4 pilot,"Tier3 N+1 stitch ran but still 0 strict data rows; try N+2/multi-page; data_rows=0; raw_rows=5; flags={'stitched': True, 'continuation_page': 18}"
