code,name,board,schema_profile,subtype_caveat_flag,field,extraction_type,status,proxy_plausible,automated_strict_label,automated_reason,value_preview,evidence_sentence,page,source_url,pdf_path,manual_grade,manual_notes,reviewer,reviewed_at
600318,新力金融,sse_main,bank,True,industry_discussion,section_snippet,found,True,usable,substantive in-region snippet with anchor (len=316),所处行业情况概述如下： （一） 融资租赁 2024 年3 月国务院印发《推动大规模设备更新和消费品以旧换新行动方案》，各地各领域设 备更新政策持续发布，天津、上海、广东、浙江、江苏等多地提及运用融资租赁工具支持设备更 新工作，对租赁行业发展是一大机遇，有利于提升融资租赁渗透率。同时，在数字经济成为全球 发展大势的当下，...,所处行业情况概述如下：,11,http://static.cninfo.com.cn/finalpage/2025-03-28/1222924117.PDF,outputs/generalization/full_market_2024/sse_main/600318/600318.pdf,CORRECT,tag-review-600318|loc:p11,model-gpt-5.4,2026-06-25
600318,新力金融,sse_main,bank,True,risk_factors,section_snippet,found,True,wrong,financial/legal boilerplate,可能面对的风险 √适用 □不适用 1、公司下属融资担保、小额贷款、典当、融资租赁等业务均是传统金融业务体系的补充，市 场定位和业务属性均有各自特点，可能面对的风险也不尽相同，整体而言，共同面对的主要风险 有市场风险、信用风险、流动性风险。 （1）市场风险 金融工具的市场风险，是指金融工具的公允价值或未来现金流量因市场价...,场定位和业务属性均有各自特点，可能面对的风险也不尽相同，整体而言，共同面对的主要风险,23,http://static.cninfo.com.cn/finalpage/2025-03-28/1222924117.PDF,outputs/generalization/full_market_2024/sse_main/600318/600318.pdf,CORRECT,tag-review-600318|loc:p23,model-gpt-5.4,2026-06-25
600318,新力金融,sse_main,bank,True,major_subsidiaries,section_snippet,found,True,partial,substantive but out-of-region (len=200),"主要控股参股公司分析 √适用 □不适用 单位：万元 名称 主要产品或服务 注册资本 总资产 净资产 净利润 德润租赁 融资租赁 81,666.67 223,816.85 124,880.59 8,593.17 德善小贷 小额贷款 33,000.00 74,780.68 68,604.34 3,625.34 德合典当 典...",主要控股参股公司分析,21,http://static.cninfo.com.cn/finalpage/2025-03-28/1222924117.PDF,outputs/generalization/full_market_2024/sse_main/600318/600318.pdf,CORRECT,tag-review-600318|in_region-gate|loc:p21,model-gpt-5.4,2026-06-25
600318,新力金融,sse_main,bank,True,main_business_segments,section_snippet,partial,False,partial,status=partial with some content,经营分部具有相似的经济特征，并且满足一定条件的，则可合并为一个经营分部。 公司考虑重要性原则，以经营分部为基础，确定报告分部。公司的报告分部是提供不同产品 或服务、或在不同地区经营的业务单元。由于各种业务或地区需要不同的技术和市场战略，因此， 公司分别独立管理各个报告分部的生产经营活动，分别评价其经营成果，以决定向其配...,经营分部具有相似的经济特征，并且满足一定条件的，则可合并为一个经营分部。,207,http://static.cninfo.com.cn/finalpage/2025-03-28/1222924117.PDF,outputs/generalization/full_market_2024/sse_main/600318/600318.pdf,PARTIAL,tag-review-600318|loc:p207,model-gpt-5.4,2026-06-25
600318,新力金融,sse_main,bank,True,net_interest_income,numeric,not_found,False,not_found_unverified,status=not_found (unverified by automation),,,,http://static.cninfo.com.cn/finalpage/2025-03-28/1222924117.PDF,outputs/generalization/full_market_2024/sse_main/600318/600318.pdf,ABSENT-OK,tag-review-600318|na-subtype,model-gpt-5.4,2026-06-25
600318,新力金融,sse_main,bank,True,non_interest_income,numeric,not_found,False,not_found_unverified,status=not_found (unverified by automation),,,,http://static.cninfo.com.cn/finalpage/2025-03-28/1222924117.PDF,outputs/generalization/full_market_2024/sse_main/600318/600318.pdf,ABSENT-OK,tag-review-600318|na-subtype,model-gpt-5.4,2026-06-25
600318,新力金融,sse_main,bank,True,loan_structure,table,found,True,usable,2 data rows,"[table p.21 hits=1] 德善小贷 | 小额贷款 | 33,000.00 | 74,780.68 | 68,604.34 | 3,625.34 / 德合典当 | 典当业务 | 22,000.00 | 34,878.71 | 34,279.63 | 393.12",发放贷款等。,21,http://static.cninfo.com.cn/finalpage/2025-03-28/1222924117.PDF,outputs/generalization/full_market_2024/sse_main/600318/600318.pdf,ABSENT-OK,tag-review-600318|na-subtype|loc:p21,model-gpt-5.4,2026-06-25
600318,新力金融,sse_main,bank,True,deposit_structure,table,partial,False,partial,status=partial,[table p.65 hits=1] 吸收存款及同业存放 | | | / 代理买卖证券款 | | |,吸收存款及同业存放,65,http://static.cninfo.com.cn/finalpage/2025-03-28/1222924117.PDF,outputs/generalization/full_market_2024/sse_main/600318/600318.pdf,ABSENT-OK,tag-review-600318|na-subtype|loc:p65,model-gpt-5.4,2026-06-25
600318,新力金融,sse_main,bank,True,npl_ratio,numeric,not_found,False,not_found_unverified,status=not_found (unverified by automation),,,,http://static.cninfo.com.cn/finalpage/2025-03-28/1222924117.PDF,outputs/generalization/full_market_2024/sse_main/600318/600318.pdf,ABSENT-OK,tag-review-600318|na-subtype,model-gpt-5.4,2026-06-25
600318,新力金融,sse_main,bank,True,capital_adequacy_ratio,numeric,not_found,False,not_found_unverified,status=not_found (unverified by automation),,,,http://static.cninfo.com.cn/finalpage/2025-03-28/1222924117.PDF,outputs/generalization/full_market_2024/sse_main/600318/600318.pdf,ABSENT-OK,tag-review-600318|na-subtype,model-gpt-5.4,2026-06-25
